scheduler,metric,mean,median,std,min,max,p95
FCFS,waitingTime,1035.2,813.0,861.9,0,3447,2623.0
FCFS,turnaroundTime,1098.9,879.5,862.6,21,3499,2685.3
FCFS,responseTime,1035.2,813.0,861.9,0,3447,2623.0
SJF,waitingTime,750.0,66.0,1871.2,0,12972,5091.6
SJF,turnaroundTime,813.7,114.5,1902.7,20,13182,5230.3
SJF,responseTime,750.0,66.0,1871.2,0,12972,5091.6
PRIORITY,waitingTime,795.5,61.0,2036.2,0,12399,5550.5
PRIORITY,turnaroundTime,859.2,130.0,2036.7,21,12479,5600.9
PRIORITY,responseTime,795.5,61.0,2036.2,0,12399,5550.5
MLFQ,waitingTime,1093.1,727.0,1118.1,0,7168,3046.1
MLFQ,turnaroundTime,1156.7,791.0,1118.5,20,7211,3113.6
MLFQ,responseTime,1093.1,727.0,1118.1,0,7168,3046.1
